"Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Angular Velocity, Ch P2 (rad/s) Run #4","State Run #4"
0.000,0.000,,
0.020,0.000,0.000,
0.040,0.000,0.000,
0.060,0.000,0.000,
0.080,0.000,0.000,
0.100,0.000,0.000,
0.120,0.000,0.000,
0.140,0.000,0.000,
0.160,0.000,0.000,
0.180,0.000,0.000,
0.200,0.000,0.000,
0.220,0.000,0.000,
0.240,0.000,0.013,
0.260,0.000,0.026,
0.280,0.002,0.026,
0.300,0.002,0.013,
0.320,0.002,0.000,
0.340,0.002,0.000,
0.360,0.002,0.000,
0.380,0.002,-0.013,
0.400,0.002,-0.026,
0.420,0.000,-0.013,
0.440,0.000,0.013,
0.460,0.002,0.026,
0.480,0.002,0.013,
0.500,0.002,0.000,
0.520,0.002,0.000,
0.540,0.002,0.000,
0.560,0.002,0.000,
0.580,0.002,0.000,
0.600,0.002,-0.013,
0.620,0.002,-0.026,
0.640,0.000,-0.026,
0.660,0.000,-0.013,
0.680,0.000,0.000,
0.700,0.000,0.000,
0.720,0.000,0.000,
0.740,0.000,0.000,
0.760,0.000,0.000,
0.780,0.000,0.000,
0.800,0.000,0.013,
0.820,0.000,0.026,
0.840,0.002,0.026,
0.860,0.002,0.013,
0.880,0.002,0.000,
0.900,0.002,0.000,
0.920,0.002,0.000,
0.940,0.002,0.000,
0.960,0.002,0.000,
0.980,0.002,0.000,
1.000,0.002,0.000,
1.020,0.002,0.000,
1.040,0.002,0.000,
1.060,0.002,0.000,
1.080,0.002,0.000,
1.100,0.002,-0.013,
1.120,0.002,-0.026,
1.140,0.000,-0.026,
1.160,0.000,-0.013,
1.180,0.000,-0.013,
1.200,0.000,-0.026,
1.220,-0.002,-0.026,
1.240,-0.002,-0.013,
1.260,-0.002,0.000,
1.280,-0.002,0.000,
1.300,-0.002,0.013,
1.320,-0.002,0.026,
1.340,0.000,0.026,
1.360,0.000,0.013,
1.380,0.000,0.000,
1.400,0.000,0.000,
1.420,0.000,0.000,
1.440,0.000,0.000,
1.460,0.000,0.000,
1.480,0.000,0.000,
1.500,0.000,0.000,
1.520,0.000,0.000,
1.540,0.000,0.000,
1.560,0.000,0.000,
1.580,0.000,-0.013,
1.600,0.000,-0.026,
1.620,-0.002,-0.026,
1.640,-0.002,-0.013,
1.660,-0.002,0.000,
1.680,-0.002,0.013,
1.700,-0.002,0.026,
1.720,0.000,0.039,
1.740,0.000,0.039,
1.760,0.002,0.079,
1.780,0.002,0.183,
1.787,,,0.00
1.800,0.008,0.327,
1.820,0.016,0.484,
1.840,0.027,0.641,
1.860,0.041,0.812,
1.880,0.060,0.982,
1.900,0.080,1.139,
1.920,0.105,1.309,
1.940,0.132,1.532,
1.960,0.165,1.780,
1.980,0.204,2.042,
2.000,0.247,2.304,
2.020,0.295,2.592,
2.040,0.350,2.893,
2.060,0.412,3.207,
2.080,0.478,3.547,
2.100,0.553,3.901,
2.120,0.635,4.254,
2.140,0.723,4.621,
2.160,0.818,5.013,
2.180,0.924,5.419,
2.200,1.035,5.812,
2.220,1.156,6.192,
2.240,1.283,6.558,
2.260,1.418,6.885,
2.280,1.560,7.160,
2.300,1.706,7.343,
2.320,1.855,7.435,
2.340,2.004,7.435,
2.360,2.154,7.304,
2.380,2.300,7.016,
2.400,2.436,6.558,
2.420,2.564,5.956,
2.440,2.677,5.223,
2.460,2.774,4.359,
2.480,2.853,3.377,
2.500,2.911,2.291,
2.520,2.945,1.152,
2.540,2.956,0.013,
2.560,2.945,-1.100,
2.580,2.912,-2.186,
2.600,2.857,-3.220,
2.620,2.782,-4.150,
2.640,2.689,-4.948,
2.660,2.582,-5.603,
2.680,2.463,-6.100,
2.700,2.336,-6.427,
2.720,2.204,-6.597,
2.740,2.070,-6.637,
2.760,1.937,-6.558,
2.780,1.806,-6.362,
2.797,,,1.00
2.800,1.681,-6.061,
2.820,1.563,-5.681,
2.840,1.453,-5.236,
2.860,1.352,-4.739,
2.877,,,0.00
2.880,1.263,-4.202,
2.900,1.184,-3.652,
2.920,1.117,-3.089,
2.940,1.060,-2.500,
2.960,1.016,-1.885,
2.980,0.985,-1.257,
3.000,0.966,-0.641,
3.020,0.960,-0.039,
3.040,0.964,0.563,
3.060,0.982,1.178,
3.080,1.012,1.793,
3.100,1.054,2.395,
3.120,1.107,2.998,
3.140,1.173,3.600,
3.160,1.252,4.189,
3.180,1.341,4.752,
3.200,1.442,5.275,
3.220,1.554,5.773,
3.240,1.673,6.231,
3.260,1.803,6.637,
3.280,1.940,6.951,
3.300,2.083,7.147,
3.320,2.227,7.226,
3.340,2.373,7.147,
3.360,2.516,6.885,
3.380,2.652,6.427,
3.400,2.776,5.812,
3.420,2.886,5.053,
3.440,2.980,4.176,
3.460,3.054,3.194,
3.480,3.109,2.107,
3.500,3.140,0.942,
3.520,3.146,-0.262,
3.540,3.129,-1.453,
3.560,3.088,-2.618,
3.580,3.024,-3.744,
3.600,2.937,-4.778,
3.620,2.831,-5.694,
3.640,2.708,-6.493,
3.660,2.570,-7.160,
3.680,2.419,-7.684,
3.700,2.260,-8.050,
3.720,2.095,-8.286,
3.740,1.927,-8.391,
3.760,1.758,-8.351,
3.780,1.591,-8.194,
3.800,1.429,-7.959,
3.820,1.272,-7.671,
3.840,1.122,-7.330,
3.859,,,1.00
3.860,0.979,-6.964,
3.880,0.844,-6.584,
3.900,0.715,-6.205,
3.920,0.595,-5.812,
3.938,,,0.00
3.940,0.482,-5.432,
3.960,0.379,-5.079,
3.980,0.280,-4.752,
4.000,0.188,-4.438,
4.020,0.102,-4.136,
4.040,0.024,-3.875,
4.060,-0.052,-3.626,
4.080,-0.123,-3.390,
4.100,-0.187,-3.181,
4.120,-0.248,-3.011,
4.140,-0.308,-2.867,
4.160,-0.363,-2.736,
4.180,-0.416,-2.644,
4.200,-0.468,-2.605,
4.220,-0.520,-2.579,
4.240,-0.572,-2.579,
4.260,-0.622,-2.618,
4.280,-0.675,-2.697,
4.300,-0.730,-2.814,
4.320,-0.787,-2.958,
4.340,-0.848,-3.155,
4.360,-0.913,-3.403,
4.380,-0.983,-3.691,
4.400,-1.060,-4.019,
4.420,-1.144,-4.385,
4.440,-1.235,-4.804,
4.460,-1.335,-5.262,
4.480,-1.445,-5.747,
4.500,-1.565,-6.244,
4.520,-1.695,-6.754,
4.540,-1.835,-7.239,
4.560,-1.985,-7.671,
4.580,-2.143,-8.024,
4.600,-2.308,-8.286,
4.620,-2.476,-8.443,
4.640,-2.647,-8.469,
4.660,-2.816,-8.351,
4.680,-2.983,-8.063,
4.700,-3.142,-7.592,
4.720,-3.289,-6.951,
4.740,-3.421,-6.165,
4.760,-3.537,-5.236,
4.780,-3.633,-4.176,
4.800,-3.706,-2.998,
4.820,-3.754,-1.754,
4.840,-3.776,-0.458,
4.860,-3.773,0.877,
4.880,-3.742,2.225,
4.900,-3.684,3.560,
4.914,,,1.00
4.920,-3.599,4.843,
4.940,-3.489,6.074,
4.960,-3.355,7.213,
4.980,-3.198,8.234,
4.994,,,0.00
5.000,-3.024,9.111,
5.020,-2.832,9.831,
5.040,-2.628,10.393,
5.060,-2.414,10.773,
5.080,-2.194,10.996,
5.100,-1.973,11.061,
5.120,-1.750,10.996,
5.140,-1.532,10.839,
5.160,-1.316,10.629,
5.180,-1.106,10.420,
5.200,-0.900,10.210,
5.220,-0.697,10.027,
5.240,-0.500,9.896,
5.260,-0.303,9.817,
5.280,-0.107,9.804,
5.300,0.088,9.857,
5.320,0.286,9.975,
5.340,0.487,10.171,
5.360,0.691,10.446,
5.380,0.903,10.786,
5.400,1.123,11.153,
5.420,1.349,11.493,
5.440,1.583,11.794,
5.460,1.822,12.017,
5.480,2.066,12.095,
5.500,2.309,12.004,
5.520,2.548,11.689,
5.540,2.780,11.140,
5.560,2.997,10.328,
5.580,3.197,9.268,
5.600,3.371,7.985,
5.620,3.519,6.506,
5.640,3.633,4.869,
5.660,3.715,3.115,
5.680,3.759,1.296,
5.700,3.767,-0.550,
5.720,3.737,-2.369,
5.740,3.671,-4.136,
5.760,3.570,-5.799,
5.780,3.437,-7.317,
5.800,3.275,-8.666,
5.820,3.088,-9.817,
5.840,2.879,-10.747,
5.860,2.655,-11.428,
5.880,2.419,-11.860,
5.900,2.177,-12.056,
5.920,1.934,-12.043,
5.940,1.693,-11.860,
5.960,1.458,-11.545,
5.977,,,1.00
5.980,1.230,-11.140,
6.000,1.012,-10.681,
6.020,0.803,-10.236,
6.040,0.603,-9.831,
6.056,,,0.00
6.060,0.410,-9.464,
6.080,0.225,-9.137,
6.100,0.046,-8.862,
6.120,-0.129,-8.666,
6.140,-0.300,-8.535,
6.160,-0.470,-8.456,
6.180,-0.638,-8.430,
6.200,-0.806,-8.443,
6.220,-0.975,-8.482,
6.240,-1.145,-8.548,
6.260,-1.316,-8.626,
6.280,-1.491,-8.692,
6.300,-1.665,-8.692,
6.320,-1.839,-8.626,
6.340,-2.011,-8.495,
6.360,-2.180,-8.286,
6.380,-2.344,-7.972,
6.400,-2.501,-7.527,
6.420,-2.647,-6.964,
6.440,-2.780,-6.283,
6.460,-2.900,-5.524,
6.480,-3.002,-4.699,
6.500,-3.088,-3.809,
6.520,-3.156,-2.867,
6.540,-3.203,-1.911,
6.560,-3.231,-0.982,
6.580,-3.242,-0.092,
6.600,-3.234,0.772,
6.620,-3.211,1.571,
6.640,-3.170,2.265,
6.660,-3.118,2.867,
6.680,-3.055,3.364,
6.700,-2.981,3.770,
6.720,-2.903,4.058,
6.740,-2.818,4.228,
6.760,-2.732,4.294,
6.780,-2.645,4.254,
6.800,-2.560,4.136,
6.820,-2.479,3.940,
6.840,-2.402,3.691,
6.860,-2.331,3.403,
6.880,-2.265,3.076,
6.900,-2.207,2.723,
6.920,-2.157,2.356,
6.940,-2.113,2.003,
6.960,-2.077,1.662,
6.980,-2.047,1.335,
7.000,-2.023,1.034,
7.020,-2.006,0.759,
7.036,,,1.00
7.040,-1.993,0.511,
7.060,-1.985,0.301,
7.080,-1.982,0.144,
7.100,-1.981,0.026,
7.116,,,0.00
7.120,-1.981,-0.052,
7.140,-1.984,-0.105,
7.160,-1.985,-0.131,
7.180,-1.989,-0.131,
7.200,-1.992,-0.105,
7.220,-1.993,-0.039,
7.240,-1.993,0.039,
7.260,-1.992,0.118,
7.280,-1.989,0.209,
7.300,-1.984,0.301,
7.320,-1.976,0.393,
7.340,-1.968,0.471,
7.360,-1.957,0.537,
7.380,-1.946,0.589,
7.400,-1.934,0.628,
7.420,-1.921,0.654,
7.440,-1.907,0.641,
7.460,-1.894,0.602,
7.480,-1.883,0.537,
7.500,-1.872,0.445,
7.520,-1.865,0.314,
7.540,-1.860,0.157,
7.560,-1.858,-0.026,
7.580,-1.860,-0.236,
7.600,-1.868,-0.484,
7.620,-1.879,-0.759,
7.640,-1.898,-1.060,
7.660,-1.921,-1.388,
7.680,-1.953,-1.728,
7.700,-1.990,-2.094,
7.720,-2.036,-2.474,
7.740,-2.089,-2.854,
7.760,-2.150,-3.220,
7.780,-2.218,-3.560,
7.800,-2.293,-3.875,
7.820,-2.373,-4.150,
7.840,-2.460,-4.346,
7.860,-2.549,-4.464,
7.880,-2.639,-4.490,
7.900,-2.730,-4.424,
7.920,-2.818,-4.254,
7.940,-2.901,-3.979,
7.960,-2.978,-3.600,
7.980,-3.047,-3.102,
8.000,-3.104,-2.487,
8.020,-3.148,-1.793,
8.040,-3.176,-1.034,
8.060,-3.190,-0.223,
8.080,-3.186,0.615,
8.096,,,1.00
8.100,-3.165,1.453,
8.120,-3.127,2.291,
8.140,-3.074,3.129,
8.160,-3.002,3.927,
8.177,,,0.00
8.180,-2.915,4.660,
8.200,-2.815,5.328,
8.220,-2.702,5.917,
8.240,-2.576,6.414,
8.260,-2.444,6.807,
8.280,-2.303,7.108,
8.300,-2.158,7.317,
8.320,-2.009,7.409,
8.340,-1.860,7.422,
8.360,-1.712,7.357,
8.380,-1.565,7.239,
8.400,-1.422,7.055,
8.420,-1.282,6.833,
8.440,-1.148,6.610,
8.460,-1.018,6.375,
8.480,-0.892,6.139,
8.500,-0.773,5.904,
8.520,-0.657,5.681,
8.540,-0.545,5.459,
8.560,-0.438,5.236,
8.580,-0.336,5.040,
8.600,-0.237,4.869,
8.620,-0.141,4.712,
8.640,-0.049,4.555,
8.660,0.041,4.411,
8.680,0.127,4.267,
8.700,0.212,4.123,
8.720,0.292,3.979,
8.740,0.371,3.835,
8.760,0.446,3.691,
8.780,0.518,3.547,
8.800,0.587,3.403,
8.820,0.655,3.246,
8.840,0.718,3.076,
8.860,0.778,2.893,
8.880,0.834,2.736,
8.900,0.886,2.592,
8.920,0.938,2.461,
8.940,0.985,2.330,
8.960,1.030,2.212,
8.980,1.073,2.134,
9.000,1.115,2.081,
9.020,1.156,2.068,
9.040,1.197,2.094,
9.060,1.239,2.160,
9.080,1.283,2.251,
9.100,1.329,2.382,
9.120,1.378,2.553,
9.140,1.431,2.762,
9.155,,,1.00
9.160,1.488,3.011,
9.180,1.550,3.286,
9.200,1.619,3.587,
9.220,1.693,3.901,
9.234,,,0.00
9.240,1.775,4.228,
9.260,1.863,4.542,
9.280,1.957,4.830,
9.300,2.056,5.118,
9.320,2.161,5.380,
9.340,2.273,5.576,
9.360,2.386,5.694,
9.380,2.501,5.733,
9.400,2.617,5.694,
9.420,2.730,5.550,
9.440,2.840,5.301,
9.460,2.944,4.961,
9.480,3.039,4.516,
9.500,3.126,3.979,
9.520,3.200,3.351,
9.540,3.261,2.631,
9.560,3.307,1.833,
9.580,3.335,0.982,
9.600,3.346,0.131,
9.620,3.340,-0.733,
9.640,3.318,-1.610,
9.660,3.275,-2.474,
9.680,3.217,-3.312,
9.700,3.143,-4.110,
9.720,3.052,-4.869,
9.740,2.947,-5.563,
9.760,2.829,-6.165,
9.780,2.699,-6.689,
9.800,2.560,-7.134,
9.820,2.413,-7.487,
9.840,2.259,-7.749,
9.860,2.102,-7.933,
9.880,1.942,-8.050,
9.900,1.778,-8.103,
9.920,1.616,-8.103,
9.940,1.455,-8.090,
9.960,1.293,-8.077,
9.980,1.131,-8.037,
10.000,0.971,-7.998,
10.020,0.812,-7.985,
10.040,0.652,-8.011,
10.060,0.492,-8.050,
