"Time (s) 0pi lagt til højre","Angle, Ch P2 (rad) 0pi lagt til højre","Angular Velocity, Ch P2 (rad/s) 0pi lagt til højre","State 0pi lagt til højre"
0.000,0.000,,
0.020,0.000,0.000,
0.040,0.000,0.000,
0.060,0.000,0.000,
0.080,0.000,0.000,
0.100,0.000,0.000,
0.120,0.000,0.000,
0.140,0.000,0.000,
0.160,0.000,0.000,
0.180,0.000,0.000,
0.200,0.000,0.000,
0.220,0.000,0.000,
0.240,0.000,0.000,
0.260,0.000,0.000,
0.280,0.000,0.000,
0.300,0.000,0.000,
0.320,0.000,0.000,
0.340,0.000,0.000,
0.360,0.000,0.000,
0.380,0.000,0.000,
0.400,0.000,0.000,
0.420,0.000,0.000,
0.440,0.000,0.000,
0.460,0.000,0.000,
0.480,0.000,0.000,
0.500,0.000,0.000,
0.520,0.000,0.000,
0.540,0.000,0.000,
0.560,0.000,0.000,
0.580,0.000,0.000,
0.600,0.000,0.000,
0.620,0.000,0.000,
0.640,0.000,0.000,
0.660,0.000,0.000,
0.680,0.000,0.000,
0.700,0.000,0.000,
0.720,0.000,0.000,
0.740,0.000,0.000,
0.760,0.000,0.000,
0.780,0.000,0.000,
0.800,0.000,0.000,
0.820,0.000,0.000,
0.840,0.000,0.000,
0.860,0.000,0.000,
0.880,0.000,0.000,
0.900,0.000,0.000,
0.920,0.000,0.000,
0.940,0.000,0.000,
0.960,0.000,0.000,
0.980,0.000,0.000,
1.000,0.000,0.000,
1.020,0.000,0.000,
1.040,0.000,0.000,
1.060,0.000,0.000,
1.080,0.000,0.000,
1.100,0.000,0.000,
1.120,0.000,0.000,
1.140,0.000,0.000,
1.160,0.000,0.000,
1.180,0.000,0.000,
1.200,0.000,0.000,
1.220,0.000,0.000,
1.240,0.000,0.000,
1.260,0.000,0.000,
1.280,0.000,0.000,
1.300,0.000,0.000,
1.320,0.000,0.000,
1.340,0.000,0.000,
1.360,0.000,0.000,
1.380,0.000,0.000,
1.400,0.000,0.000,
1.420,0.000,0.000,
1.440,0.000,0.000,
1.460,0.000,0.000,
1.480,0.000,0.000,
1.500,0.000,0.000,
1.520,0.000,0.000,
1.540,0.000,0.000,
1.560,0.000,0.000,
1.580,0.000,0.000,
1.600,0.000,0.000,
1.620,0.000,0.000,
1.640,0.000,0.000,
1.660,0.000,0.000,
1.680,0.000,0.000,
1.700,0.000,0.000,
1.720,0.000,0.000,
1.740,0.000,0.000,
1.760,0.000,0.000,
1.780,0.000,0.000,
1.800,0.000,0.000,
1.820,0.000,0.000,
1.840,0.000,0.000,
1.860,0.000,0.000,
1.880,0.000,0.000,
1.900,0.000,0.000,
1.920,0.000,0.000,
1.940,0.000,0.000,
1.960,0.000,0.000,
1.980,0.000,0.000,
2.000,0.000,0.000,
2.020,0.000,0.000,
2.040,0.000,0.000,
2.060,0.000,0.000,
2.080,,,0.00
2.080,0.000,0.039,
2.100,0.000,0.118,
2.120,0.005,0.209,
2.140,0.009,0.314,
2.160,0.016,0.432,
2.180,0.027,0.589,
2.200,0.039,0.746,
2.220,0.057,0.890,
2.240,0.075,1.047,
2.260,0.097,1.204,
2.280,0.124,1.361,
2.300,0.152,1.492,
2.320,0.184,1.597,
2.340,0.217,1.676,
2.360,0.251,1.728,
2.380,0.286,1.754,
2.400,0.322,1.741,
2.420,0.357,1.676,
2.440,0.390,1.558,
2.460,0.419,1.427,
2.480,0.446,1.270,
2.500,0.471,1.060,
2.520,0.490,0.798,
2.540,0.503,0.511,
2.560,0.511,0.209,
2.580,0.512,-0.131,
2.600,0.506,-0.524,
2.620,0.492,-0.929,
2.640,0.468,-1.348,
2.660,0.438,-1.806,
2.680,0.397,-2.304,
2.700,0.346,-2.801,
2.720,0.284,-3.286,
2.740,0.215,-3.783,
2.760,0.134,-4.267,
2.780,0.042,-4.699,
2.800,-0.055,-5.066,
2.820,-0.160,-5.380,
2.840,-0.272,-5.603,
2.860,-0.386,-5.707,
2.880,-0.501,-5.681,
2.900,-0.616,-5.524,
2.920,-0.724,-5.223,
2.940,-0.826,-4.778,
2.960,-0.917,-4.215,
2.980,-0.996,-3.521,
3.000,-1.060,-2.723,
3.020,-1.106,-1.833,
3.040,-1.134,-0.877,
3.060,-1.142,0.118,
3.065,,,1.00
3.080,-1.129,1.152,
3.100,-1.096,2.186,
3.120,-1.041,3.194,
3.135,,,0.00
3.140,-0.968,4.150,
3.160,-0.875,5.053,
3.180,-0.765,5.890,
3.200,-0.638,6.624,
3.220,-0.498,7.252,
3.240,-0.347,7.762,
3.260,-0.185,8.142,
3.280,-0.019,8.391,
3.300,0.151,8.522,
3.320,0.324,8.561,
3.340,0.495,8.495,
3.360,0.664,8.351,
3.380,0.829,8.181,
3.400,0.991,7.998,
3.420,1.150,7.802,
3.440,1.304,7.579,
3.460,1.453,7.370,
3.480,1.598,7.186,
3.500,1.740,7.029,
3.520,1.879,6.898,
3.540,2.015,6.794,
3.560,2.150,6.715,
3.580,2.284,6.650,
3.600,2.416,6.624,
3.620,2.548,6.650,
3.640,2.681,6.702,
3.660,2.816,6.754,
3.680,2.952,6.820,
3.700,3.088,6.898,
3.720,3.228,6.977,
3.740,3.368,7.029,
3.760,3.509,7.055,
3.780,3.651,7.055,
3.800,3.792,6.990,
3.820,3.932,6.859,
3.840,4.067,6.676,
3.860,4.199,6.427,
3.880,4.326,6.087,
3.900,4.444,5.655,
3.920,4.552,5.171,
3.940,4.651,4.634,
3.960,4.739,4.032,
3.980,4.813,3.390,
4.000,4.874,2.736,
4.020,4.923,2.068,
4.040,4.957,1.401,
4.060,4.978,0.746,
4.080,4.987,0.131,
4.100,4.983,-0.432,
4.110,,,1.00
4.120,4.968,-0.929,
4.140,4.945,-1.348,
4.160,4.913,-1.715,
4.179,,,0.00
4.180,4.876,-2.016,
4.200,4.832,-2.238,
4.220,4.785,-2.369,
4.240,4.736,-2.422,
4.260,4.687,-2.422,
4.280,4.639,-2.369,
4.300,4.591,-2.238,
4.320,4.547,-2.042,
4.340,4.510,-1.806,
4.360,4.475,-1.545,
4.380,4.447,-1.257,
4.400,4.425,-0.942,
4.420,4.409,-0.628,
4.440,4.400,-0.301,
4.460,4.397,0.026,
4.480,4.401,0.314,
4.500,4.411,0.563,
4.520,4.423,0.785,
4.540,4.442,0.982,
4.560,4.464,1.139,
4.580,4.488,1.230,
4.600,4.514,1.283,
4.620,4.540,1.283,
4.640,4.566,1.217,
4.660,4.590,1.086,
4.680,4.610,0.890,
4.700,4.626,0.668,
4.720,4.637,0.393,
4.740,4.643,0.065,
4.760,4.640,-0.288,
4.780,4.631,-0.668,
4.800,4.615,-1.073,
4.820,4.588,-1.505,
4.840,4.554,-1.924,
4.860,4.511,-2.317,
4.880,4.461,-2.710,
4.900,4.403,-3.063,
4.920,4.337,-3.364,
4.940,4.268,-3.613,
4.960,4.192,-3.809,
4.980,4.114,-3.953,
5.000,4.034,-4.019,
5.020,3.952,-4.019,
5.040,3.872,-3.953,
5.060,3.793,-3.809,
5.080,3.718,-3.600,
5.100,3.649,-3.351,
5.120,3.585,-3.063,
5.140,3.525,-2.723,
5.151,,,1.00
5.160,3.475,-2.317,
5.180,3.432,-1.872,
5.200,3.399,-1.414,
5.219,,,0.00
5.220,3.376,-0.929,
5.240,3.362,-0.419,
5.260,3.358,0.118,
5.280,3.366,0.668,
5.300,3.385,1.230,
5.320,3.415,1.820,
5.340,3.457,2.422,
5.360,3.512,3.037,
5.380,3.578,3.652,
5.400,3.658,4.254,
5.420,3.749,4.843,
5.440,3.852,5.406,
5.460,3.966,5.943,
5.480,4.090,6.427,
5.500,4.224,6.833,
5.520,4.365,7.134,
5.540,4.511,7.317,
5.560,4.659,7.357,
5.580,4.808,7.252,
5.600,4.951,6.990,
5.620,5.089,6.558,
5.640,5.217,5.956,
5.660,5.330,5.197,
5.680,5.426,4.320,
5.700,5.504,3.312,
5.720,5.561,2.186,
5.740,5.592,0.982,
5.760,5.600,-0.249,
5.780,5.583,-1.492,
5.800,5.540,-2.736,
5.820,5.473,-3.940,
5.840,5.382,-5.092,
5.860,5.268,-6.178,
5.880,5.133,-7.173,
5.900,4.979,-8.037,
5.920,4.810,-8.744,
5.940,4.628,-9.307,
5.960,4.436,-9.739,
5.980,4.236,-10.027,
6.000,4.032,-10.171,
6.020,3.828,-10.184,
6.040,3.624,-10.119,
6.060,3.423,-9.988,
6.080,3.223,-9.804,
6.100,3.030,-9.621,
6.120,2.840,-9.451,
6.140,2.652,-9.307,
6.160,2.468,-9.189,
6.180,2.286,-9.124,
6.196,,,1.00
6.200,2.103,-9.124,
6.220,1.921,-9.163,
6.240,1.737,-9.242,
6.260,1.552,-9.372,
6.266,,,0.00
6.280,1.363,-9.543,
6.300,1.170,-9.726,
6.320,0.974,-9.896,
6.340,0.774,-10.027,
6.360,0.572,-10.105,
6.380,0.369,-10.092,
6.400,0.167,-9.975,
6.420,-0.031,-9.713,
6.440,-0.225,-9.294,
6.460,-0.405,-8.705,
6.480,-0.575,-7.959,
6.500,-0.726,-7.069,
6.520,-0.859,-6.021,
6.540,-0.969,-4.856,
6.560,-1.054,-3.613,
6.580,-1.114,-2.330,
6.600,-1.148,-1.021,
6.620,-1.155,0.275,
6.640,-1.136,1.518,
6.660,-1.093,2.683,
6.680,-1.027,3.770,
6.700,-0.941,4.739,
6.720,-0.836,5.563,
6.740,-0.716,6.218,
6.760,-0.584,6.702,
6.780,-0.446,7.029,
6.800,-0.302,7.173,
6.820,-0.156,7.147,
6.840,-0.014,6.951,
6.860,0.124,6.610,
6.880,0.253,6.139,
6.900,0.371,5.550,
6.920,0.476,4.896,
6.940,0.567,4.176,
6.960,0.644,3.403,
6.980,0.704,2.592,
7.000,0.748,1.754,
7.020,0.774,0.916,
7.040,0.784,0.092,
7.060,0.778,-0.694,
7.080,0.756,-1.453,
7.100,0.719,-2.173,
7.120,0.668,-2.841,
7.140,0.605,-3.443,
7.160,0.529,-3.979,
7.180,0.445,-4.451,
7.200,0.350,-4.830,
7.220,0.250,-5.118,
7.240,0.145,-5.301,
7.245,,,1.00
7.260,0.036,-5.380,
7.280,-0.072,-5.341,
7.300,-0.179,-5.171,
7.315,,,0.00
7.320,-0.281,-4.883,
7.340,-0.375,-4.477,
7.360,-0.462,-3.966,
7.380,-0.536,-3.351,
7.400,-0.597,-2.644,
7.420,-0.642,-1.872,
7.440,-0.672,-1.047,
7.460,-0.685,-0.196,
7.480,-0.680,0.654,
7.500,-0.658,1.479,
7.520,-0.620,2.278,
7.540,-0.567,3.037,
7.560,-0.498,3.731,
7.580,-0.416,4.333,
7.600,-0.324,4.830,
7.620,-0.221,5.236,
7.640,-0.113,5.537,
7.660,0.002,5.733,
7.680,0.118,5.825,
7.700,0.236,5.799,
7.720,0.352,5.668,
7.740,0.463,5.445,
7.760,0.570,5.144,
7.780,0.671,4.765,
7.800,0.762,4.320,
7.820,0.844,3.835,
7.840,0.916,3.312,
7.860,0.977,2.736,
7.880,1.026,2.107,
7.900,1.062,1.453,
7.920,1.084,0.772,
7.940,1.093,0.065,
7.960,1.087,-0.654,
7.980,1.067,-1.401,
8.000,1.032,-2.160,
8.020,0.980,-2.932,
8.040,0.914,-3.718,
8.060,0.833,-4.490,
8.080,0.734,-5.249,
8.100,0.622,-5.982,
8.120,0.495,-6.650,
8.140,0.353,-7.239,
8.160,0.204,-7.697,
8.180,0.044,-8.037,
8.200,-0.119,-8.234,
8.220,-0.287,-8.247,
8.240,-0.452,-8.077,
8.260,-0.613,-7.697,
8.280,-0.763,-7.134,
8.295,,,1.00
8.300,-0.900,-6.375,
8.320,-1.021,-5.459,
8.340,-1.120,-4.398,
8.360,-1.199,-3.207,
8.366,,,0.00
8.380,-1.250,-1.911,
8.400,-1.275,-0.550,
8.420,-1.272,0.812,
8.440,-1.243,2.160,
8.460,-1.186,3.482,
8.480,-1.103,4.752,
8.500,-0.994,5.930,
8.520,-0.864,6.977,
8.540,-0.713,7.893,
8.560,-0.547,8.666,
8.580,-0.364,9.268,
8.600,-0.173,9.687,
8.620,0.025,9.935,
8.640,0.226,10.040,
8.660,0.429,10.014,
8.680,0.628,9.883,
8.700,0.825,9.673,
8.720,1.016,9.425,
8.740,1.202,9.137,
8.760,1.382,8.836,
8.780,1.555,8.535,
8.800,1.723,8.247,
8.820,1.885,7.998,
8.840,2.042,7.775,
8.860,2.196,7.592,
8.880,2.345,7.435,
8.900,2.493,7.317,
8.920,2.637,7.239,
8.940,2.782,7.186,
8.960,2.925,7.147,
8.980,3.068,7.108,
9.000,3.209,7.082,
9.020,3.351,7.055,
9.040,3.492,7.016,
9.060,3.632,6.938,
9.080,3.770,6.820,
9.100,3.905,6.663,
9.120,4.037,6.466,
9.140,4.164,6.231,
9.160,4.287,5.943,
9.180,4.403,5.589,
9.200,4.511,5.184,
9.220,4.610,4.739,
9.240,4.701,4.241,
9.260,4.782,3.704,
9.280,4.849,3.155,
9.300,4.907,2.605,
9.320,4.954,2.042,
9.340,4.989,1.466,
9.342,,,1.00
9.360,5.012,0.903,
9.380,5.025,0.380,
9.400,5.027,-0.092,
9.411,,,0.00
9.420,5.020,-0.497,
9.440,5.006,-0.864,
9.460,4.986,-1.191,
9.480,4.957,-1.466,
9.500,4.926,-1.676,
9.520,4.890,-1.820,
9.540,4.852,-1.911,
9.560,4.813,-1.950,
9.580,4.774,-1.950,
9.600,4.734,-1.898,
9.620,4.697,-1.806,
9.640,4.662,-1.689,
9.660,4.629,-1.545,
9.680,4.599,-1.388,
9.700,4.574,-1.217,
9.720,4.551,-1.034,
9.740,4.532,-0.851,
9.760,4.518,-0.668,
9.780,4.505,-0.524,
9.800,4.497,-0.393,
9.820,4.489,-0.275,
9.840,4.486,-0.196,
9.860,4.483,-0.144,
9.880,4.480,-0.131,
9.900,4.478,-0.144,
9.920,4.475,-0.209,
9.940,4.470,-0.314,
9.960,4.463,-0.445,
9.980,4.453,-0.602,
10.000,4.439,-0.785,
10.020,4.422,-0.995,
10.040,4.400,-1.217,
10.060,4.373,-1.453,
10.080,4.342,-1.702,
10.100,4.306,-1.950,
10.120,4.263,-2.186,
10.140,4.218,-2.395,
10.160,4.167,-2.579,
10.180,4.114,-2.736,
10.200,4.057,-2.841,
10.220,3.999,-2.906,
