"Time (s) 0pi lagt til venstre","Angle, Ch P2 (rad) 0pi lagt til venstre","Angular Velocity, Ch P2 (rad/s) 0pi lagt til venstre"
0.000,0.000,
0.020,0.000,0.000
0.040,0.000,0.000
0.060,0.000,0.000
0.080,0.000,0.000
0.100,0.000,0.000
0.120,0.000,0.000
0.140,0.000,0.000
0.160,0.000,0.000
0.180,0.000,0.000
0.200,0.000,0.000
0.220,0.000,0.000
0.240,0.000,0.000
0.260,0.000,0.000
0.280,0.000,0.000
0.300,0.000,0.000
0.320,0.000,0.000
0.340,0.000,0.000
0.360,0.000,0.000
0.380,0.000,0.000
0.400,0.000,0.000
0.420,0.000,0.000
0.440,0.000,0.000
0.460,0.000,0.000
0.480,0.000,0.000
0.500,0.000,0.000
0.520,0.000,0.000
0.540,0.000,0.000
0.560,0.000,0.000
0.580,0.000,0.000
0.600,0.000,0.000
0.620,0.000,0.000
0.640,0.000,0.000
0.660,0.000,0.000
0.680,0.000,0.000
0.700,0.000,0.000
0.720,0.000,0.000
0.740,0.000,0.000
0.760,0.000,0.000
0.780,0.000,0.000
0.800,0.000,0.000
0.820,0.000,0.000
0.840,0.000,0.000
0.860,0.000,0.000
0.880,0.000,0.000
0.900,0.000,0.000
0.920,0.000,0.000
0.940,0.000,0.000
0.960,0.000,0.000
0.980,0.000,0.000
1.000,0.000,0.000
1.020,0.000,0.000
1.040,0.000,0.000
1.060,0.000,0.000
1.080,0.000,0.000
1.100,0.000,0.000
1.120,0.000,0.000
1.140,0.000,0.026
1.160,0.000,0.092
1.180,0.003,0.183
1.200,0.008,0.275
1.220,0.014,0.380
1.240,0.022,0.524
1.260,0.035,0.694
1.280,0.050,0.864
1.300,0.069,1.021
1.320,0.091,1.178
1.340,0.116,1.335
1.360,0.145,1.479
1.380,0.176,1.597
1.400,0.209,1.689
1.420,0.243,1.741
1.440,0.280,1.741
1.460,0.314,1.689
1.480,0.347,1.597
1.500,0.379,1.479
1.520,0.407,1.309
1.540,0.432,1.086
1.560,0.451,0.812
1.580,0.465,0.497
1.600,0.471,0.157
1.620,0.471,-0.209
1.640,0.463,-0.589
1.660,0.448,-1.008
1.680,0.424,-1.440
1.700,0.390,-1.885
1.720,0.349,-2.330
1.740,0.297,-2.775
1.760,0.237,-3.220
1.780,0.168,-3.626
1.800,0.091,-4.006
1.820,0.008,-4.346
1.840,-0.083,-4.647
1.860,-0.179,-4.896
1.880,-0.280,-5.092
1.900,-0.383,-5.236
1.920,-0.490,-5.315
1.940,-0.597,-5.328
1.960,-0.704,-5.275
1.980,-0.809,-5.184
2.000,-0.911,-5.053
2.020,-1.012,-4.883
2.040,-1.107,-4.673
2.060,-1.199,-4.438
2.080,-1.285,-4.176
2.100,-1.367,-3.875
2.120,-1.440,-3.560
2.140,-1.508,-3.233
2.160,-1.571,-2.893
2.180,-1.624,-2.526
2.200,-1.671,-2.147
2.220,-1.711,-1.767
2.240,-1.742,-1.361
2.260,-1.766,-0.942
2.280,-1.780,-0.511
2.300,-1.786,-0.079
2.320,-1.783,0.353
2.340,-1.772,0.798
2.360,-1.751,1.257
2.380,-1.722,1.728
2.400,-1.682,2.225
2.420,-1.634,2.749
2.440,-1.572,3.286
2.460,-1.502,3.835
2.480,-1.420,4.398
2.500,-1.326,4.974
2.520,-1.221,5.537
2.540,-1.104,6.087
2.560,-0.977,6.624
2.580,-0.839,7.134
2.600,-0.691,7.592
2.620,-0.534,7.985
2.640,-0.371,8.286
2.660,-0.201,8.469
2.680,-0.030,8.508
2.700,0.141,8.378
2.720,0.308,8.063
2.740,0.467,7.553
2.760,0.613,6.859
2.780,0.743,5.995
2.800,0.855,4.974
2.820,0.944,3.809
2.840,1.008,2.526
2.860,1.046,1.165
2.880,1.056,-0.223
2.900,1.037,-1.597
2.920,0.991,-2.932
2.940,0.919,-4.215
2.960,0.822,-5.406
2.980,0.701,-6.466
3.000,0.561,-7.383
3.020,0.404,-8.129
3.040,0.232,-8.692
3.060,0.053,-9.058
3.080,-0.132,-9.255
3.100,-0.319,-9.294
3.120,-0.506,-9.176
3.140,-0.688,-8.927
3.160,-0.864,-8.587
3.180,-1.032,-8.194
3.200,-1.192,-7.749
3.220,-1.343,-7.278
3.240,-1.483,-6.807
3.260,-1.615,-6.349
3.280,-1.737,-5.904
3.300,-1.850,-5.459
3.320,-1.956,-5.053
3.340,-2.051,-4.686
3.360,-2.143,-4.346
3.380,-2.226,-4.019
3.400,-2.303,-3.718
3.420,-2.373,-3.456
3.440,-2.441,-3.220
3.460,-2.502,-2.998
3.480,-2.560,-2.788
3.500,-2.614,-2.631
3.520,-2.664,-2.513
3.540,-2.714,-2.422
3.560,-2.761,-2.356
3.580,-2.807,-2.330
3.600,-2.854,-2.369
3.620,-2.901,-2.448
3.640,-2.952,-2.566
3.660,-3.003,-2.723
3.680,-3.060,-2.919
3.700,-3.120,-3.181
3.720,-3.186,-3.508
3.740,-3.259,-3.901
3.760,-3.341,-4.320
3.780,-3.432,-4.778
3.800,-3.531,-5.288
3.820,-3.643,-5.838
3.840,-3.765,-6.414
3.860,-3.899,-6.990
3.880,-4.045,-7.553
3.900,-4.202,-8.063
3.920,-4.368,-8.495
3.940,-4.543,-8.836
3.960,-4.723,-9.058
3.980,-4.907,-9.124
4.000,-5.091,-9.006
4.020,-5.270,-8.705
4.040,-5.441,-8.207
4.060,-5.601,-7.501
4.080,-5.744,-6.597
4.100,-5.867,-5.537
4.120,-5.967,-4.346
4.140,-6.043,-3.037
4.160,-6.090,-1.636
4.180,-6.109,-0.183
4.200,-6.098,1.296
4.220,-6.057,2.775
4.240,-5.986,4.215
4.260,-5.887,5.589
4.280,-5.762,6.898
4.300,-5.611,8.116
4.320,-5.435,9.189
4.340,-5.240,10.079
4.360,-5.030,10.773
4.380,-4.807,11.284
4.400,-4.576,11.611
4.420,-4.340,11.768
4.440,-4.103,11.794
4.460,-3.867,11.716
4.480,-3.633,11.558
4.500,-3.404,11.362
4.520,-3.179,11.166
4.540,-2.958,10.996
4.560,-2.739,10.878
4.580,-2.524,10.839
4.600,-2.308,10.891
4.620,-2.089,11.035
4.640,-1.868,11.244
4.660,-1.640,11.519
4.680,-1.407,11.846
4.700,-1.167,12.187
4.720,-0.919,12.514
4.740,-0.666,12.789
4.760,-0.407,12.972
4.780,-0.145,12.998
4.800,0.116,12.802
4.820,0.371,12.357
4.840,0.614,11.650
4.860,0.840,10.681
4.880,1.045,9.451
4.900,1.222,7.985
4.920,1.367,6.309
4.940,1.477,4.477
4.960,1.547,2.539
4.980,1.579,0.550
5.000,1.569,-1.440
5.020,1.521,-3.377
5.040,1.433,-5.210
5.060,1.310,-6.898
5.080,1.155,-8.404
5.100,0.971,-9.713
5.120,0.763,-10.786
5.140,0.536,-11.598
5.160,0.295,-12.134
5.180,0.047,-12.409
5.200,-0.204,-12.449
5.220,-0.454,-12.278
5.240,-0.697,-11.951
5.260,-0.933,-11.532
5.280,-1.159,-11.048
5.300,-1.376,-10.537
5.320,-1.580,-10.027
5.340,-1.777,-9.556
5.360,-1.962,-9.137
5.380,-2.141,-8.783
5.400,-2.312,-8.508
5.420,-2.480,-8.286
5.440,-2.644,-8.116
5.460,-2.804,-7.985
5.480,-2.963,-7.933
5.500,-3.120,-7.933
5.520,-3.280,-7.972
5.540,-3.438,-8.024
5.560,-3.600,-8.077
5.580,-3.762,-8.142
5.600,-3.925,-8.181
5.620,-4.090,-8.168
5.640,-4.254,-8.090
5.660,-4.414,-7.946
5.680,-4.573,-7.723
5.700,-4.725,-7.396
5.720,-4.869,-6.964
5.740,-5.005,-6.440
5.760,-5.129,-5.851
5.780,-5.239,-5.197
5.800,-5.338,-4.477
5.820,-5.419,-3.704
5.840,-5.485,-2.893
5.860,-5.535,-2.081
5.880,-5.568,-1.257
5.900,-5.586,-0.458
5.920,-5.586,0.288
5.940,-5.573,0.982
5.960,-5.546,1.623
5.980,-5.507,2.212
6.000,-5.457,2.710
6.020,-5.397,3.142
6.040,-5.331,3.534
6.060,-5.256,3.875
6.080,-5.174,4.123
6.100,-5.089,4.294
6.120,-5.003,4.424
6.140,-4.912,4.503
6.160,-4.821,4.516
6.180,-4.731,4.477
6.200,-4.642,4.424
6.220,-4.554,4.333
6.240,-4.467,4.189
6.260,-4.386,4.019
6.280,-4.307,3.848
6.300,-4.232,3.678
6.320,-4.159,3.495
6.340,-4.092,3.299
6.360,-4.028,3.102
6.380,-3.968,2.919
6.400,-3.911,2.736
6.420,-3.858,2.553
6.440,-3.809,2.369
6.460,-3.764,2.186
6.480,-3.721,2.003
6.500,-3.684,1.820
6.520,-3.649,1.636
6.540,-3.618,1.453
6.560,-3.591,1.270
6.580,-3.567,1.100
6.600,-3.547,0.916
6.620,-3.530,0.707
6.640,-3.519,0.484
6.660,-3.511,0.262
6.680,-3.508,0.039
6.700,-3.509,-0.209
6.720,-3.515,-0.484
6.740,-3.528,-0.785
6.760,-3.547,-1.126
6.780,-3.572,-1.492
6.800,-3.607,-1.885
6.820,-3.647,-2.304
6.840,-3.698,-2.775
6.860,-3.757,-3.286
6.880,-3.830,-3.809
6.900,-3.910,-4.333
6.920,-4.002,-4.856
6.940,-4.104,-5.380
6.960,-4.218,-5.877
6.980,-4.340,-6.336
7.000,-4.472,-6.728
7.020,-4.610,-7.029
7.040,-4.755,-7.213
7.060,-4.901,-7.265
7.080,-5.047,-7.186
7.100,-5.190,-6.964
7.120,-5.328,-6.558
7.140,-5.455,-5.982
7.160,-5.568,-5.249
7.180,-5.667,-4.385
7.200,-5.746,-3.403
7.220,-5.804,-2.317
7.240,-5.840,-1.152
7.260,-5.851,0.079
7.280,-5.837,1.335
7.300,-5.798,2.566
7.320,-5.733,3.757
7.340,-5.647,4.909
7.360,-5.537,6.008
7.380,-5.405,7.016
7.400,-5.254,7.893
7.420,-5.088,8.626
7.440,-4.907,9.215
7.460,-4.717,9.647
7.480,-4.519,9.922
7.500,-4.318,10.066
7.520,-4.115,10.079
7.540,-3.913,10.001
7.560,-3.715,9.857
7.580,-3.519,9.673
7.600,-3.327,9.477
7.620,-3.140,9.268
7.640,-2.956,9.098
7.660,-2.777,8.967
7.680,-2.598,8.888
7.700,-2.422,8.862
7.720,-2.245,8.888
7.740,-2.067,8.980
7.760,-1.887,9.124
7.780,-1.703,9.320
7.800,-1.514,9.556
7.820,-1.321,9.817
7.840,-1.122,10.066
7.860,-0.917,10.289
7.880,-0.710,10.459
7.900,-0.498,10.537
7.920,-0.286,10.485
7.940,-0.077,10.276
7.960,0.127,9.909
7.980,0.322,9.359
8.000,0.504,8.587
8.020,0.669,7.618
8.040,0.811,6.480
8.060,0.930,5.210
8.080,1.021,3.835
8.100,1.084,2.369
8.120,1.117,0.877
8.140,1.118,-0.602
8.160,1.092,-2.029
8.180,1.037,-3.364
8.200,0.955,-4.581
8.220,0.851,-5.655
8.240,0.727,-6.571
8.260,0.586,-7.317
8.280,0.432,-7.867
8.300,0.269,-8.234
8.320,0.101,-8.417
8.340,-0.071,-8.404
8.360,-0.239,-8.221
8.380,-0.401,-7.893
8.400,-0.556,-7.461
8.420,-0.701,-6.938
8.440,-0.834,-6.349
8.460,-0.955,-5.720
8.480,-1.063,-5.053
8.500,-1.158,-4.359
8.520,-1.238,-3.652
8.540,-1.304,-2.958
8.560,-1.356,-2.278
8.580,-1.395,-1.597
8.600,-1.420,-0.929
8.620,-1.431,-0.288
8.640,-1.431,0.327
8.660,-1.418,0.929
8.680,-1.393,1.532
8.700,-1.357,2.107
8.720,-1.308,2.670
8.740,-1.250,3.220
8.760,-1.180,3.744
8.780,-1.100,4.241
8.800,-1.010,4.712
8.820,-0.911,5.157
8.840,-0.803,5.537
8.860,-0.688,5.851
8.880,-0.569,6.100
8.900,-0.443,6.270
8.920,-0.316,6.349
8.940,-0.188,6.309
8.960,-0.061,6.152
8.980,0.060,5.864
9.000,0.174,5.445
9.020,0.280,4.922
9.040,0.372,4.267
9.060,0.452,3.508
9.080,0.514,2.657
9.100,0.559,1.741
9.120,0.584,0.798
9.140,0.591,-0.144
9.160,0.578,-1.047
9.180,0.548,-1.911
9.200,0.501,-2.723
9.220,0.438,-3.456
9.240,0.361,-4.084
9.260,0.273,-4.581
9.280,0.176,-4.948
9.300,0.074,-5.197
9.320,-0.033,-5.328
9.340,-0.141,-5.341
9.360,-0.248,-5.223
9.380,-0.352,-5.000
9.400,-0.449,-4.686
9.420,-0.540,-4.294
9.440,-0.622,-3.835
9.460,-0.694,-3.325
9.480,-0.756,-2.762
9.500,-0.806,-2.147
9.520,-0.842,-1.518
9.540,-0.866,-0.877
9.560,-0.878,-0.236
9.580,-0.875,0.419
9.600,-0.861,1.073
9.620,-0.833,1.702
9.640,-0.792,2.330
9.660,-0.740,2.945
9.680,-0.674,3.547
9.700,-0.597,4.110
9.720,-0.509,4.621
9.740,-0.412,5.092
9.760,-0.305,5.498
9.780,-0.190,5.825
9.800,-0.071,6.048
9.820,0.053,6.152
9.840,0.178,6.126
9.860,0.300,5.956
9.880,0.418,5.642
9.900,0.528,5.184
9.920,0.627,4.581
9.940,0.713,3.848
9.960,0.782,3.011
9.980,0.834,2.081
10.000,0.867,1.073
10.020,0.878,0.013
10.040,0.867,-1.073
10.060,0.836,-2.147
10.080,0.781,-3.207
10.100,0.707,-4.228
10.120,0.611,-5.171
10.140,0.498,-6.021
10.160,0.369,-6.754
10.180,0.226,-7.383
10.200,0.072,-7.867
10.220,-0.091,-8.194
10.240,-0.258,-8.378
10.260,-0.427,-8.443
10.280,-0.597,-8.391
10.300,-0.765,-8.234
10.320,-0.927,-7.998
10.340,-1.085,-7.710
10.360,-1.236,-7.396
10.380,-1.381,-7.055
10.400,-1.519,-6.715
10.420,-1.649,-6.362
10.440,-1.773,-6.021
10.460,-1.890,-5.707
10.480,-2.001,-5.419
10.500,-2.106,-5.157
10.520,-2.207,-4.909
10.540,-2.303,-4.686
10.560,-2.394,-4.477
10.580,-2.482,-4.280
10.600,-2.565,-4.110
10.620,-2.645,-3.966
10.640,-2.724,-3.848
10.660,-2.799,-3.757
10.680,-2.873,-3.691
10.700,-2.947,-3.665
10.720,-3.019,-3.652
10.740,-3.093,-3.665
10.760,-3.165,-3.731
10.780,-3.241,-3.822
10.800,-3.319,-3.940
