Time (s) Auto,Angle (rad) Minus pi/4,Angular Velocity (rad/s) Minus pi/4
0,0,
0.02,0,0
0.04,0,-0.026
0.06,-0.002,-0.026
0.08,-0.002,-0.013
0.1,-0.002,0
0.12,-0.002,0
0.14,-0.002,0
0.16,-0.002,-0.013
0.18,-0.002,-0.013
0.2,-0.003,0
0.22,-0.002,0.013
0.24,-0.002,0.013
0.26,-0.002,0
0.28,-0.002,0.013
0.3,-0.002,0.026
0.32,0,0.026
0.34,0,0.013
0.36,0,0
0.38,0,0
0.4,0,-0.013
0.42,0,-0.026
0.44,-0.002,-0.026
0.46,-0.002,-0.013
0.48,-0.002,0
0.5,-0.002,0
0.52,-0.002,0
0.54,-0.002,0
0.56,-0.002,-0.013
0.58,-0.002,-0.013
0.6,-0.003,0
0.62,-0.002,0.013
0.64,-0.002,0.013
0.66,-0.002,0.013
0.68,-0.002,0.026
0.7,0,0.026
0.72,0,0.013
0.74,0,0
0.76,0,0
0.78,0,-0.013
0.8,0,-0.026
0.82,-0.002,-0.026
0.84,-0.002,-0.013
0.86,-0.002,0
0.88,-0.002,-0.013
0.9,-0.002,-0.013
0.92,-0.003,0
0.94,-0.002,0
0.96,-0.002,0
0.98,-0.003,0
1,-0.002,0.013
1.02,-0.002,0.013
1.04,-0.002,0.013
1.06,-0.002,0.026
1.08,0,0.026
1.1,0,0.013
1.12,0,0.026
1.14,0,0.092
1.16,0.003,0.17
1.18,0.008,0.262
1.2,0.013,0.38
1.22,0.022,0.537
1.24,0.035,0.694
1.26,0.05,0.838
1.28,0.068,0.995
1.3,0.09,1.165
1.32,0.115,1.322
1.34,0.143,1.44
1.36,0.173,1.558
1.38,0.204,1.662
1.4,0.24,1.715
1.42,0.275,1.715
1.44,0.308,1.676
1.46,0.342,1.623
1.48,0.374,1.518
1.5,0.404,1.361
1.52,0.429,1.191
1.54,0.451,0.982
1.56,0.47,0.72
1.58,0.481,0.406
1.6,0.485,0.079
1.62,0.484,-0.249
1.64,0.476,-0.615
1.66,0.46,-1.021
1.68,0.435,-1.453
1.7,0.402,-1.898
1.72,0.36,-2.343
1.74,0.308,-2.801
1.76,0.248,-3.246
1.78,0.178,-3.691
1.8,0.101,-4.11
1.82,0.013,-4.49
1.84,-0.08,-4.817
1.86,-0.181,-5.066
1.88,-0.284,-5.223
1.9,-0.391,-5.262
1.92,-0.496,-5.197
1.94,-0.6,-5.013
1.96,-0.699,-4.699
1.98,-0.79,-4.241
2,-0.87,-3.665
2.02,-0.938,-2.998
2.04,-0.991,-2.251
2.06,-1.029,-1.427
2.08,-1.049,-0.55
2.1,-1.051,0.353
2.12,-1.035,1.283
2.14,-1.001,2.212
2.16,-0.946,3.129
2.18,-0.875,3.992
2.2,-0.785,4.804
2.22,-0.682,5.563
2.24,-0.562,6.218
