Time (s) Auto,Angle (rad) Minus pi/2,Angular Velocity (rad/s) Minus pi/2
0,0,
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0.013
0.92,0,0.052
0.94,0.002,0.118
0.96,0.005,0.196
0.98,0.009,0.288
1,0.016,0.406
1.02,0.025,0.55
1.04,0.038,0.694
1.06,0.053,0.838
1.08,0.071,0.982
1.1,0.093,1.126
1.12,0.116,1.27
1.14,0.143,1.388
1.16,0.173,1.479
1.18,0.203,1.532
1.2,0.234,1.558
1.22,0.265,1.558
1.24,0.297,1.532
1.26,0.327,1.466
1.28,0.357,1.348
1.3,0.382,1.178
1.32,0.404,0.969
1.34,0.421,0.733
1.36,0.434,0.458
1.38,0.44,0.157
1.4,0.44,-0.17
1.42,0.434,-0.524
1.44,0.419,-0.903
1.46,0.397,-1.309
1.48,0.368,-1.728
1.5,0.328,-2.147
1.52,0.281,-2.566
1.54,0.226,-2.971
1.56,0.162,-3.364
1.58,0.091,-3.731
1.6,0.013,-4.058
1.62,-0.072,-4.333
1.64,-0.162,-4.529
1.66,-0.254,-4.634
1.68,-0.349,-4.647
1.7,-0.441,-4.568
1.72,-0.533,-4.398
1.74,-0.619,-4.136
1.76,-0.699,-3.77
1.78,-0.771,-3.312
1.8,-0.833,-2.762
1.82,-0.883,-2.134
1.84,-0.919,-1.44
1.86,-0.941,-0.707
1.88,-0.947,0.052
1.9,-0.939,0.825
1.92,-0.914,1.61
1.94,-0.875,2.409
1.96,-0.818,3.181
1.98,-0.746,3.927
2,-0.661,4.621
2.02,-0.561,5.262
2.04,-0.449,5.825
2.06,-0.327,6.283
2.08,-0.196,6.637
2.1,-0.06,6.885
2.12,0.08,7.029
2.14,0.223,7.069
2.16,0.364,6.99
2.18,0.504,6.781
2.2,0.638,6.466
2.22,0.763,6.087
2.24,0.881,5.655
2.26,0.991,5.171
2.28,1.089,4.634
2.3,1.177,4.058
2.32,1.252,3.469
2.34,1.315,2.841
2.36,1.367,2.186
2.38,1.403,1.518
2.4,1.426,0.838
2.42,1.437,0.144
2.44,1.433,-0.576
2.46,1.414,-1.309
2.48,1.381,-2.055
2.5,1.332,-2.827
