Time (s) Auto,Angle (rad) 3pi/4 forkudt,Angular Velocity (rad/s) 3pi/4 forkudt
834.98,-1.951,-8.522
835,-2.106,-7.684
835.02,-2.259,-7.042
835.04,-2.394,-6.244
835.06,-2.509,-5.315
835.08,-2.606,-4.372
835.1,-2.684,-3.43
835.12,-2.743,-2.5
835.14,-2.783,-1.597
835.16,-2.807,-0.694
835.18,-2.812,0.209
835.2,-2.798,1.1
835.22,-2.768,1.977
835.24,-2.719,2.867
835.26,-2.653,3.77
835.28,-2.568,4.686
835.3,-2.466,5.642
835.32,-2.344,6.637
835.34,-2.201,7.697
835.36,-2.037,8.783
835.38,-1.849,9.831
835.4,-1.641,10.76
835.42,-1.417,11.558
835.44,-1.178,12.252
835.46,-0.925,12.763
835.48,-0.663,13.313
835.5,-0.401,13.823
835.52,-0.105,14.098
835.54,0.176,14.046
835.56,0.452,13.522
835.58,0.727,12.71
835.6,0.966,11.65
835.62,1.188,10.459
835.64,1.39,9.124
835.66,1.558,7.474
835.68,1.69,5.629
835.7,1.784,3.744
835.72,1.839,1.872
835.74,1.858,0.013
835.76,1.841,-1.859
835.78,1.784,-3.731
835.8,1.69,-5.563
835.82,1.561,-7.33
835.84,1.396,-8.993
835.86,1.199,-10.524
835.88,0.974,-11.873
835.9,0.721,-12.998
835.92,0.449,-13.797
835.94,0.163,-14.242
835.96,-0.124,-14.111
835.98,-0.415,-13.692
836,-0.666,-13.247
836.02,-0.938,-12.815
836.04,-1.191,-12.239
836.06,-1.428,-11.035
836.08,-1.645,-9.556
836.1,-1.808,-8.247
836.12,-1.957,-7.33
836.14,-2.105,-6.61
836.16,-2.227,-5.681
836.18,-2.331,-4.621
836.2,-2.413,-3.587
836.22,-2.474,-2.539
836.24,-2.515,-1.492
836.26,-2.534,-0.458
836.28,-2.532,0.563
836.3,-2.512,1.571
836.32,-2.469,2.592
836.34,-2.408,3.613
836.36,-2.325,4.647
836.38,-2.223,5.733
836.4,-2.097,6.859
836.42,-1.948,7.985
836.44,-1.777,9.045
836.46,-1.585,10.04
836.48,-1.374,10.943
836.5,-1.145,11.768
836.52,-0.903,12.475
836.54,-0.644,12.881
836.56,-0.379,13.182
