Time (s) Auto,Angle (rad) pi/4 forskydt,Angular Velocity (rad/s) pi/4 forskydt
0,0,
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.16,0,0
1.18,0,0
1.2,0,0
1.22,0,0
1.24,0,0
1.26,0,0
1.28,0,0
1.3,0,0
1.32,0,0
1.34,0,0
1.36,0,0
1.38,0,0
1.4,0,0
1.42,0,0
1.44,0,0
1.46,0,0
1.48,0,0
1.5,0,0.013
1.52,0,0.065
1.54,0.002,0.157
1.56,0.006,0.262
1.58,0.013,0.367
1.6,0.02,0.484
1.62,0.031,0.628
1.64,0.046,0.785
1.66,0.063,0.942
1.68,0.083,1.086
1.7,0.107,1.217
1.72,0.132,1.335
1.74,0.16,1.44
1.76,0.19,1.518
1.78,0.221,1.545
1.8,0.253,1.518
1.82,0.283,1.466
1.84,0.311,1.388
1.86,0.339,1.257
1.88,0.363,1.06
1.9,0.382,0.825
1.92,0.396,0.589
1.94,0.405,0.327
1.96,0.41,0.013
1.98,0.407,-0.34
2,0.396,-0.707
2.02,0.379,-1.073
2.04,0.353,-1.466
2.06,0.32,-1.872
2.08,0.278,-2.278
2.1,0.229,-2.683
2.12,0.171,-3.076
2.14,0.105,-3.456
2.16,0.033,-3.796
2.18,-0.047,-4.097
2.2,-0.132,-4.346
2.22,-0.221,-4.529
2.24,-0.314,-4.66
2.26,-0.408,-4.739
2.28,-0.504,-4.739
2.3,-0.6,-4.66
2.32,-0.691,-4.529
2.34,-0.781,-4.359
2.36,-0.867,-4.136
2.38,-0.947,-3.835
2.4,-1.021,-3.482
2.42,-1.087,-3.089
2.44,-1.145,-2.657
2.46,-1.194,-2.199
2.48,-1.233,-1.715
2.5,-1.263,-1.191
2.52,-1.282,-0.615
2.54,-1.288,-0.013
2.56,-1.282,0.589
2.58,-1.264,1.217
2.6,-1.235,1.885
2.62,-1.189,2.579
2.64,-1.131,3.272
2.66,-1.059,3.966
2.68,-0.972,4.686
