Time (s) Auto,Angle (rad) Minus 3pi/4,Angular Velocity (rad/s) Minus 3pi/4
0,0,
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0.013
1.04,0,0.039
1.06,0.002,0.092
1.08,0.003,0.183
1.1,0.008,0.301
1.12,0.016,0.445
1.14,0.025,0.589
1.16,0.039,0.733
1.18,0.055,0.877
1.2,0.074,1.021
1.22,0.096,1.165
1.24,0.121,1.283
1.26,0.148,1.388
1.28,0.176,1.466
1.3,0.207,1.518
1.32,0.237,1.532
1.34,0.269,1.505
1.36,0.298,1.44
1.38,0.327,1.335
1.4,0.352,1.191
1.42,0.375,1.008
1.44,0.393,0.785
1.46,0.407,0.524
1.48,0.415,0.223
1.5,0.416,-0.105
1.52,0.41,-0.445
1.54,0.399,-0.812
1.56,0.379,-1.204
1.58,0.35,-1.597
1.6,0.314,-1.99
1.62,0.272,-2.395
1.64,0.218,-2.801
1.66,0.159,-3.181
1.68,0.091,-3.521
1.7,0.017,-3.835
1.72,-0.063,-4.084
1.74,-0.148,-4.254
1.76,-0.234,-4.346
1.78,-0.322,-4.372
1.8,-0.41,-4.32
1.82,-0.496,-4.163
1.84,-0.578,-3.927
1.86,-0.653,-3.626
1.88,-0.724,-3.246
1.9,-0.785,-2.775
1.92,-0.836,-2.225
1.94,-0.875,-1.623
1.96,-0.902,-0.969
1.98,-0.914,-0.275
2,-0.913,0.445
2.02,-0.897,1.178
2.04,-0.866,1.911
2.06,-0.82,2.644
2.08,-0.76,3.364
2.1,-0.685,4.058
2.12,-0.597,4.699
2.14,-0.496,5.275
2.16,-0.385,5.76
2.18,-0.264,6.152
2.2,-0.138,6.453
2.22,-0.005,6.663
2.24,0.13,6.754
2.26,0.267,6.715
2.28,0.401,6.584
2.3,0.531,6.349
2.32,0.657,6.008
2.34,0.773,5.576
2.36,0.88,5.079
2.38,0.977,4.529
2.4,1.062,3.914
2.42,1.134,3.246
2.44,1.192,2.539
2.46,1.236,1.793
2.48,1.264,1.034
2.5,1.277,0.262
2.52,1.275,-0.511
