Time (s) Auto,Angle (rad) pi/2 postiv/lagt til venstre,Angular Velocity (rad/s) pi/2 postiv/lagt til venstre
0,0,
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.16,0,0
1.18,0,0
1.2,0,0
1.22,0,0
1.24,0,0
1.26,0,0
1.28,0,0.013
1.3,0,0.039
1.32,0.002,0.092
1.34,0.003,0.17
1.36,0.008,0.275
1.38,0.014,0.393
1.4,0.024,0.524
1.42,0.035,0.668
1.44,0.05,0.812
1.46,0.068,0.942
1.48,0.088,1.073
1.5,0.11,1.191
1.52,0.137,1.283
1.54,0.162,1.361
1.56,0.19,1.401
1.58,0.22,1.401
1.6,0.247,1.348
1.62,0.273,1.27
1.64,0.298,1.152
1.66,0.32,0.969
1.68,0.338,0.746
1.7,0.35,0.497
1.72,0.358,0.223
1.74,0.36,-0.079
1.76,0.355,-0.406
1.78,0.344,-0.746
1.8,0.325,-1.113
1.82,0.3,-1.492
1.84,0.265,-1.872
1.86,0.225,-2.251
1.88,0.176,-2.618
1.9,0.119,-2.971
1.92,0.057,-3.299
1.94,-0.013,-3.6
1.96,-0.088,-3.862
1.98,-0.168,-4.084
2,-0.251,-4.254
2.02,-0.339,-4.372
2.04,-0.427,-4.438
2.06,-0.517,-4.411
2.08,-0.606,-4.294
2.1,-0.69,-4.097
2.12,-0.77,-3.953
2.14,-0.845,-3.77
2.16,-0.925,-3.416
2.18,-0.986,-2.906
2.2,-1.038,-2.343
2.22,-1.081,-1.82
2.24,-1.112,-1.244
2.26,-1.131,-0.628
2.28,-1.137,0
2.3,-1.131,0.654
2.32,-1.112,1.348
2.34,-1.078,2.068
2.36,-1.029,2.788
2.38,-0.966,3.508
2.4,-0.889,4.228
2.42,-0.796,4.935
2.44,-0.691,5.616
2.46,-0.572,6.257
2.48,-0.44,6.833
2.5,-0.297,7.304
2.52,-0.146,7.789
2.54,0.011,8.129
2.56,0.187,8.181
2.58,0.346,7.933
