"Time (s) Run #1","Angle, Ch P2 (rad) Run #1","Angular Velocity, Ch P2 (rad/s) Run #1","State Run #1"
0.000,0.000,,
0.050,0.000,0.000,
0.100,0.000,0.000,
0.150,0.000,0.000,
0.200,0.000,0.000,
0.250,0.000,0.000,
0.300,0.000,0.000,
0.350,0.000,0.000,
0.400,0.000,0.000,
0.450,0.000,0.000,
0.500,0.000,0.000,
0.550,0.000,0.000,
0.600,0.000,0.000,
0.650,0.000,0.000,
0.700,0.000,0.000,
0.750,0.000,0.000,
0.800,0.000,0.000,
0.850,0.000,0.000,
0.900,0.000,0.000,
0.950,0.000,0.000,
1.000,0.000,0.000,
1.050,0.000,0.000,
1.100,0.000,0.000,
1.150,0.000,0.000,
1.200,0.000,0.010,
1.250,0.000,0.068,
1.300,0.003,0.215,
1.302,,,0.00
1.350,0.017,0.461,
1.400,0.047,0.780,
1.450,0.094,1.115,
1.500,0.160,1.388,
1.550,0.239,1.503,
1.600,0.319,1.382,
1.650,0.386,1.000,
1.700,0.427,0.377,
1.750,0.430,-0.435,
1.800,0.388,-1.377,
1.850,0.295,-2.367,
1.900,0.149,-3.309,
1.950,-0.041,-4.105,
2.000,-0.269,-4.671,
2.050,-0.518,-4.943,
2.100,-0.774,-4.901,
2.150,-1.018,-4.571,
2.200,-1.239,-4.016,
2.250,-1.425,-3.288,
2.285,,,1.00
2.300,-1.572,-2.430,
2.350,-1.671,-1.471,
2.379,,,0.00
2.400,-1.722,-0.424,
2.450,-1.717,0.702,
2.500,-1.654,1.922,
2.550,-1.528,3.236,
2.600,-1.334,4.634,
2.650,-1.067,6.032,
2.700,-0.726,7.268,
2.750,-0.327,8.079,
2.800,0.107,8.147,
2.850,0.525,7.215,
2.900,0.867,5.220,
2.950,1.078,2.382,
3.000,1.120,-0.895,
3.050,0.986,-4.136,
3.100,0.690,-6.891,
3.150,0.267,-8.802,
3.200,-0.228,-9.708,
3.250,-0.737,-9.702,
3.300,-1.219,-9.090,
3.339,,,1.00
3.350,-1.652,-8.247,
3.400,-2.039,-7.467,
3.433,,,0.00
3.450,-2.391,-6.901,
3.500,-2.721,-6.582,
3.550,-3.041,-6.472,
3.600,-3.363,-6.503,
3.650,-3.690,-6.566,
3.700,-4.023,-6.529,
3.750,-4.351,-6.262,
3.800,-4.661,-5.660,
3.850,-4.931,-4.691,
3.900,-5.141,-3.419,
3.950,-5.278,-2.000,
4.000,-5.339,-0.623,
4.050,-5.333,0.555,
4.100,-5.273,1.450,
4.150,-5.177,2.047,
4.200,-5.060,2.388,
4.250,-4.932,2.534,
4.300,-4.802,2.545,
4.350,-4.675,2.477,
4.391,,,1.00
4.400,-4.554,2.367,
4.450,-4.438,2.246,
4.485,,,0.00
4.500,-4.329,2.131,
4.550,-4.225,2.021,
4.600,-4.126,1.911,
4.650,-4.034,1.770,
4.700,-3.947,1.566,
4.750,-3.874,1.267,
4.800,-3.817,0.848,
4.850,-3.784,0.293,
4.900,-3.782,-0.419,
4.950,-3.820,-1.299,
5.000,-3.907,-2.335,
5.050,-4.050,-3.477,
5.100,-4.254,-4.608,
5.150,-4.516,-5.540,
5.200,-4.822,-6.016,
5.250,-5.143,-5.791,
5.300,-5.432,-4.728,
5.350,-5.644,-2.890,
5.400,-5.740,-0.513,
5.441,,,1.00
5.450,-5.702,2.089,
5.500,-5.528,4.581,
5.537,,,0.00
5.550,-5.229,6.665,
5.600,-4.838,8.105,
5.650,-4.392,8.823,
5.700,-3.933,8.917,
5.750,-3.487,8.624,
5.800,-3.068,8.221,
5.850,-2.670,7.912,
5.900,-2.284,7.817,
5.950,-1.898,7.959,
6.000,-1.495,8.268,
6.050,-1.071,8.577,
6.100,-0.630,8.634,
6.150,-0.190,8.168,
6.200,0.214,6.974,
6.250,0.536,5.037,
6.300,0.737,2.571,
6.350,0.798,-0.037,
6.400,0.723,-2.367,
6.450,0.539,-4.100,
6.483,,,1.00
6.500,0.286,-5.063,
6.550,0.005,-5.236,
6.575,,,0.00
6.600,-0.262,-4.707,
6.650,-0.484,-3.634,
6.700,-0.638,-2.215,
6.750,-0.710,-0.649,
6.800,-0.701,0.895,
6.850,-0.616,2.293,
6.900,-0.463,3.440,
6.950,-0.259,4.199,
7.000,-0.025,4.419,
7.050,0.206,4.000,
7.100,0.397,2.932,
7.150,0.518,1.340,
7.200,0.542,-0.560,
7.250,0.463,-2.487,
7.300,0.284,-4.152,
7.350,0.030,-5.330,
7.400,-0.270,-5.875,
7.450,-0.581,-5.781,
7.500,-0.867,-5.137,
7.520,,,1.00
7.550,-1.107,-4.105,
7.600,-1.285,-2.848,
7.613,,,0.00
7.650,-1.395,-1.466,
7.700,-1.434,-0.016,
7.750,-1.398,1.482,
7.800,-1.286,3.005,
7.850,-1.098,4.508,
7.900,-0.833,5.901,
7.950,-0.500,6.990,
8.000,-0.115,7.508,
8.050,0.281,7.189,
8.100,0.639,5.875,
8.150,0.903,3.634,
8.200,1.026,0.744,
8.250,0.985,-2.361,
8.300,0.781,-5.220,
8.350,0.440,-7.435,
8.400,0.005,-8.749,
8.450,-0.470,-9.132,
8.500,-0.935,-8.765,
8.550,-1.360,-7.959,
8.563,,,1.00
8.600,-1.734,-7.021,
8.650,-2.058,-6.163,
8.656,,,0.00
8.700,-2.344,-5.493,
8.750,-2.600,-5.037,
8.800,-2.840,-4.775,
8.850,-3.072,-4.681,
8.900,-3.303,-4.739,
8.950,-3.541,-4.932,
9.000,-3.793,-5.215,
9.050,-4.062,-5.498,
9.100,-4.346,-5.671,
9.150,-4.637,-5.623,
9.200,-4.920,-5.262,
9.250,-5.176,-4.550,
9.300,-5.386,-3.492,
9.350,-5.535,-2.142,
9.400,-5.608,-0.576,
9.450,-5.597,1.094,
9.500,-5.498,2.733,
9.550,-5.317,4.189,
9.600,-5.067,5.315,
9.611,,,1.00
9.650,-4.771,6.016,
9.700,-4.450,6.283,
9.704,,,0.00
9.750,-4.130,6.184,
9.800,-3.823,5.843,
9.850,-3.542,5.393,
9.900,-3.285,4.938,
9.950,-3.050,4.534,
10.000,-2.834,4.199,
10.050,-2.633,3.932,
10.100,-2.443,3.707,
10.150,-2.262,3.487,
10.200,-2.092,3.236,
10.250,-1.937,2.937,
10.300,-1.797,2.592,
10.350,-1.676,2.220,
10.400,-1.576,1.864,
10.450,-1.492,1.576,
10.500,-1.422,1.414,
10.550,-1.357,1.435,
10.600,-1.286,1.686,
10.650,-1.197,2.194,
10.664,,,1.00
10.700,-1.076,2.948,
10.750,-0.909,3.906,
10.758,,,0.00
10.800,-0.690,4.969,
10.850,-0.412,5.969,
10.900,-0.083,6.681,
10.950,0.275,6.849,
11.000,0.628,6.273,
11.050,0.931,4.885,
11.100,1.142,2.786,
11.150,1.227,0.215,
11.200,1.169,-2.513,
11.250,0.969,-5.074,
11.300,0.646,-7.179,
11.350,0.228,-8.639,
11.400,-0.243,-9.420,
11.450,-0.734,-9.660,
11.500,-1.219,-9.608,
11.550,-1.695,-9.530,
11.600,-2.165,-9.655,
11.650,-2.647,-10.090,
11.700,-3.164,-10.765,
11.714,,,1.00
11.750,-3.723,-11.373,
11.800,-4.318,-11.446,
11.808,,,0.00
11.850,-4.904,-10.535,
11.900,-5.416,-8.409,
11.950,-5.785,-5.210,
12.000,-5.960,-1.367,
12.050,-5.923,2.571,
12.100,-5.688,6.063,
12.150,-5.286,8.650,
12.200,-4.778,10.022,
12.250,-4.238,10.168,
12.300,-3.729,9.372,
12.350,-3.285,8.016,
12.400,-2.920,6.430,
12.450,-2.642,4.817,
12.500,-2.443,3.304,
12.550,-2.317,1.969,
12.600,-2.254,0.864,
12.650,-2.240,0.026,
12.700,-2.260,-0.539,
12.750,-2.303,-0.859,
12.767,,,1.00
12.800,-2.353,-0.974,
12.850,-2.405,-0.927,
12.861,,,0.00
12.900,-2.450,-0.749,
12.950,-2.483,-0.471,
13.000,-2.499,-0.136,
13.050,-2.498,0.220,
13.100,-2.477,0.571,
13.150,-2.439,0.885,
13.200,-2.386,1.121,
13.250,-2.323,1.251,
13.300,-2.257,1.241,
