"Time (s) Skæv 5.5. time","Angle, Ch P2 (rad) Skæv 5.5. time","Angular Acceleration, Ch P2 (rad/s²) Skæv 5.5. time","State Skæv 5.5. time"
0.000,0.000,,
0.050,0.000,,
0.100,0.000,0.000,
0.150,0.000,0.000,
0.200,0.000,0.000,
0.250,0.000,0.000,
0.300,0.000,0.000,
0.350,0.000,0.000,
0.400,0.000,0.000,
0.450,0.000,0.000,
0.500,0.000,0.000,
0.550,0.000,0.000,
0.600,0.000,0.000,
0.650,0.000,0.000,
0.700,0.000,0.000,
0.750,0.000,0.000,
0.800,0.000,0.000,
0.850,0.000,0.000,
0.900,0.000,0.000,
0.950,0.000,0.000,
1.000,0.000,0.000,
1.050,0.000,0.000,
1.100,0.000,0.000,
1.150,0.000,0.000,
1.200,0.000,0.000,
1.250,0.000,0.000,
1.300,0.000,0.000,
1.350,0.000,0.000,
1.400,0.000,0.000,
1.450,0.000,0.000,
1.500,0.000,0.000,
1.550,0.000,0.000,
1.600,0.000,0.000,
1.650,0.000,0.000,
1.700,0.000,0.000,
1.750,0.000,0.017,
1.800,0.000,0.192,
1.850,0.000,0.785,
1.900,0.000,1.972,
1.905,,,0.00
1.942,,,1.00
1.950,0.002,3.578,
1.955,,,0.00
2.000,0.014,5.027,
2.050,0.041,5.603,
2.100,0.085,4.730,
2.150,0.146,2.199,
2.200,0.217,-1.693,
2.250,0.284,-6.213,
2.300,0.336,-10.455,
2.350,0.358,-13.666,
2.400,0.342,-15.464,
2.450,0.284,-15.778,
2.500,0.184,-14.678,
2.550,0.044,-12.182,
2.600,-0.130,-8.290,
2.650,-0.328,-3.177,
2.700,-0.537,2.723,
2.750,-0.738,8.814,
2.800,-0.917,14.608,
2.850,-1.057,19.810,
2.900,-1.147,24.260,
2.946,,,1.00
2.950,-1.173,27.821,
2.960,,,0.00
2.984,,,1.00
2.999,,,0.00
3.000,-1.128,30.229,
3.033,,,1.00
3.043,,,0.00
3.050,-1.004,30.875,
3.100,-0.798,28.571,
3.150,-0.509,21.817,
3.200,-0.151,9.774,
3.250,0.247,-6.650,
3.300,0.633,-24.609,
3.350,0.950,-40.387,
3.400,1.151,-50.946,
3.450,1.208,-54.786,
3.500,1.111,-51.906,
3.550,0.870,-43.337,
3.600,0.511,-30.823,
3.650,0.071,-16.738,
3.700,-0.410,-3.735,
3.750,-0.889,5.917,
3.800,-1.340,11.135,
